pc,memory_address,opcode,source_register1,source_register2,destination_register1,commit_cycle,delta_cycles
4995603,0,0,0,0,59,2042,0
4995606,0,0,0,0,73,2042,0
4995612,140729832892504,1,6,0,17,4194,2152
4995617,140729832892552,1,6,0,18,4194,0
4995622,0,0,13,0,16,4194,0
4995625,140729832892520,1,6,0,12,4194,0
4995630,0,0,56,0,56,4194,0
4995632,0,0,49,0,49,4195,1
4995634,6994368,5,3,0,26,4195,0
4998730,140729832892548,1,6,0,56,4195,0
4998734,0,0,27,0,25,4195,0
4998736,140729832892664,1,6,0,73,4284,89
4998744,0,6,26,25,26,4284,0
4998750,0,0,0,0,56,4284,0
4998755,140729832892584,1,6,0,9,4284,0
4998760,140729832893368,1,13,9,25,4324,40
4998763,0,6,26,25,26,4325,1
4998765,196617947,1,13,0,56,5539,1214
4998770,0,0,10,0,10,5539,0
4998778,0,0,0,0,55,5539,0
4998783,6716688,1,10,0,56,5539,0
4998785,0,0,56,55,56,5539,0
4998787,0,0,56,0,25,5540,1
4998792,0,0,25,0,27,5540,0
4998795,140729832892568,1,6,0,8,5540,0
4998800,0,0,54,0,25,5540,0
4998802,0,0,33,0,54,5540,0
4998805,0,0,8,0,8,5541,1
4998813,0,0,0,0,47,5541,0
4998818,0,0,8,25,4,5541,0
4998822,6716472,1,55,4,55,5541,0
4998824,0,0,55,0,25,5541,0
4998830,0,0,25,0,30,5542,1
4998833,0,0,30,27,30,5542,0
4998835,0,0,30,0,56,5542,0
4998838,0,0,56,0,56,5542,0
4998841,0,0,73,56,25,5542,0
4998844,140729832892504,1,6,0,17,5543,1
4998849,140729832892552,1,6,0,18,5543,0
4998854,0,0,13,0,16,5543,0
4998857,140729832892520,1,6,0,12,5543,0
4998862,0,4,26,0,26,5543,0
5015384,140729832892528,1,6,0,10,5544,1
5015389,140729832892512,2,6,27,0,5544,0
5015393,0,6,26,25,26,5544,0
5015399,0,4,26,0,26,5544,0
4995311,0,0,12,0,25,5544,0
4995314,0,6,26,25,26,5545,1
4995316,60367926,1,12,0,56,6841,1296
4995321,0,0,10,0,25,6841,0
4995324,0,0,12,10,9,6841,0
4995328,0,0,10,25,9,6841,0
4995332,140729832892520,2,6,9,0,6841,0
4995337,60367925,1,12,0,55,6842,1
4995342,0,0,17,0,11,6842,0
4995345,140729832892552,2,6,18,0,6842,0
4995350,0,0,12,0,3,6842,0
4995353,0,0,16,0,13,6842,0
4995356,0,4,26,0,26,6843,1
4995424,140729832892560,2,6,3,0,6843,0
4995429,0,0,14,0,10,6843,0
4995433,140729832892712,2,6,10,0,6843,0
4995441,0,0,14,0,10,6843,0
4995445,140729832892736,2,6,10,0,6844,1
4995453,0,0,14,0,17,6844,0
4995457,0,0,14,0,10,6844,0
4995461,140729832892680,2,6,10,0,6844,0
4995469,0,0,14,0,10,6844,0
4995473,140729832892896,2,6,10,0,6845,1
4995481,0,0,14,0,10,6845,0
4995485,140729832892760,2,6,10,0,6845,0
4995493,0,0,14,0,10,6845,0
4995497,140729832892888,2,6,10,0,6845,0
4995505,140729832892536,2,6,14,0,6846,1
4995510,140729832892504,2,6,11,0,6846,0
4995515,140729832892616,2,6,17,0,6846,0
4995523,140729832892648,1,6,0,10,6846,0
4995531,140729832893376,1,10,0,8,6846,0
4995534,0,0,0,0,56,6847,1
4995539,140729832892608,2,6,8,0,6847,0
4995547,0,0,13,8,25,6847,0
4995550,0,6,26,25,26,6847,0
4995552,196617948,1,13,0,56,6847,0
4995556,140729832892568,2,6,10,0,6848,1
4995561,0,0,0,0,54,6848,0
4995566,0,0,0,0,53,6848,0
4995571,140729832892664,2,6,0,0,6848,0
4995582,0,0,47,0,47,6848,0
4995584,0,0,55,0,45,6849,1
4995586,0,0,55,0,25,6849,0
4995592,0,6,26,25,26,6849,0
4995598,140729832892512,2,6,0,0,6849,0
4995603,0,0,0,0,59,6849,0
4995606,0,0,0,0,73,6850,1
4995612,140729832892504,1,6,0,17,6850,0
4995617,140729832892552,1,6,0,18,6850,0
4995622,0,0,13,0,16,6850,0
4995625,140729832892520,1,6,0,12,6850,0
4995630,0,0,56,0,56,6851,1
4995632,0,0,49,0,49,6851,0
4995634,6994880,5,3,0,26,6851,0
5003209,140729832892560,1,6,0,8,6953,102
5003214,60367924,1,8,0,27,6958,5
5003216,0,0,27,0,25,6959,1
5003218,140729832892548,1,6,0,47,6959,0
5003222,0,6,26,25,26,6960,1
5003224,0,0,27,0,25,6960,0
5003226,140729832892960,1,6,0,9,6960,0
5003234,0,0,55,0,47,6960,0
5003236,0,6,26,25,26,6961,1
5003238,0,0,27,0,25,6961,0
5003240,140729832892924,1,6,0,47,6961,0
5003247,0,6,26,25,26,6962,1
5003249,0,0,27,0,25,6962,0
5003251,0,0,0,0,47,6962,0
5003256,140729832892920,1,6,25,47,6964,2
5003264,60367928,1,8,0,56,7016,52
5003267,140729832892720,1,6,0,9,7086,70
5003275,60367896,1,9,0,9,7091,5
5003279,62016560,1,9,10,15,8339,1248
5003284,0,0,10,0,56,8339,0
5003287,62016568,1,9,10,3,8339,0
5003292,60368300,1,15,0,49,8571,232
5003297,60368272,1,15,0,10,8571,0
5003302,0,0,10,0,25,8572,1
5003305,0,6,26,25,26,8573,1
5003397,140729832892672,2,6,0,0,8809,236
5003409,140729832892728,2,6,0,0,8809,0
5003421,60368280,1,15,0,10,8813,4
5003426,38028464,2,14,10,0,8814,1
5003430,140729832892560,1,6,0,10,8814,0
5003435,38028472,2,14,10,0,8815,1
5003439,38028480,2,14,0,0,8815,0
5003447,38028456,2,14,0,0,8816,1
5003452,38028492,2,14,0,0,8816,0
5003459,0,0,49,0,25,8829,13
5003461,0,6,26,25,26,8830,1
5003467,140729832892888,2,6,3,0,8830,0
5003475,140729832892664,2,6,47,0,8830,0
