trace,source_trace,policy,l1d_coverage,l1d_accuracy,total_ipc,is_best_fixed_policy
400.perlbench-41B_combo,400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.008253368875,0.007851432724,0.793920459419,0
400.perlbench-41B_combo,400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.007936464824,0.007867189351,0.792527747979,0
400.perlbench-41B_combo,400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.008147525774,0.007507969494,0.814745872233,0
400.perlbench-41B_combo,400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.008115363676,0.007009870806,0.816413018733,0
400.perlbench-41B_combo,400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.052291419687,0.268218757696,0.795340213503,0
400.perlbench-41B_combo,400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.052614905162,0.270219649242,0.794497422631,0
400.perlbench-41B_combo,400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.053078556263,0.271093425867,0.820476582801,1
400.perlbench-41B_combo,400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.052337136548,0.270095730132,0.820331302248,0
401.bzip2-226B_combo,401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.021986896274,0.004114117667,2.392466888863,0
401.bzip2-226B_combo,401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.021957765187,0.004117940401,2.392597614389,0
401.bzip2-226B_combo,401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.021986896274,0.004114117667,2.392466888863,0
401.bzip2-226B_combo,401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.021957765187,0.004117940401,2.392597614389,0
401.bzip2-226B_combo,401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.023897968553,0.728793526684,2.435168805293,0
401.bzip2-226B_combo,401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.023900630595,0.729157196109,2.434641563566,0
401.bzip2-226B_combo,401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.023897968553,0.728793526684,2.435168805293,1
401.bzip2-226B_combo,401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.023900630595,0.729157196109,2.434641563566,0
403.gcc-16B_combo,403.gcc-16B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.000000000000,0.000000000000,2.219066216936,0
403.gcc-16B_combo,403.gcc-16B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.000000000000,0.000000000000,2.217010768908,0
403.gcc-16B_combo,403.gcc-16B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.000000000000,0.000000000000,2.219037902832,0
