trace,checkpoint_best_policy,native_best_policy,same_best_policy,checkpoint_best_l1d_coverage,native_best_l1d_coverage,delta_best_l1d_coverage,checkpoint_best_l1d_accuracy,native_best_l1d_accuracy,delta_best_l1d_accuracy
400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0,0.037145078106,0.053078556263,0.015933478157,0.279052696212,0.271093425867,-0.007959270345
401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0,0.088126617485,0.023897968553,-0.064228648932,0.559966785243,0.728793526684,0.168826741441
403.gcc-16B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,1,0.000079603973,0.000030015730,-0.000049588243,0.109586292160,0.166432584270,0.056846292110
410.bwaves-1963B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,1,0.446232127369,0.486179793779,0.039947666410,0.125038569902,0.123971526337,-0.001067043565
416.gamess-875B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0,0.000114754098,0.030912609493,0.030797855395,0.000747330961,0.056211510858,0.055464179897
429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.113870624728,0.120664460482,0.006793835754,0.708575407290,0.739178136844,0.030602729554
434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.043597721252,0.044547270190,0.000949548938,0.019658068856,0.018523328959,-0.001134739897
435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.005427321093,0.014187539694,0.008760218601,0.018171361645,0.209810284573,0.191638922928
436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.006632875376,0.077232433594,0.070599558218,0.003518568593,0.408682882926,0.405164314333
