trace,policy,checkpoint_l1d_coverage,native_l1d_coverage,delta_l1d_coverage,abs_delta_l1d_coverage,checkpoint_l1d_accuracy,native_l1d_accuracy,delta_l1d_accuracy,abs_delta_l1d_accuracy,checkpoint_is_best_policy,native_is_best_policy
400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.004283280668,0.008253368875,0.003970088207,0.003970088207,0.006012234641,0.007851432724,0.001839198083,0.001839198083,0,0
400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.004268778409,0.007936464824,0.003667686415,0.003667686415,0.006058600683,0.007867189351,0.001808588668,0.001808588668,0,0
400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.004421372357,0.008147525774,0.003726153417,0.003726153417,0.006361106464,0.007507969494,0.001146863030,0.001146863030,0,0
400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.004412601246,0.008115363676,0.003702762430,0.003702762430,0.006285756125,0.007009870806,0.000724114681,0.000724114681,0,0
400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.037245223298,0.052291419687,0.015046196389,0.015046196389,0.279760593336,0.268218757696,-0.011541835640,0.011541835640,0,0
400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.037234135001,0.052614905162,0.015380770161,0.015380770161,0.279599373811,0.270219649242,-0.009379724569,0.009379724569,0,0
400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.037146891778,0.053078556263,0.015931664485,0.015931664485,0.279028925827,0.271093425867,-0.007935499960,0.007935499960,0,1
400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.037145078106,0.052337136548,0.015192058442,0.015192058442,0.279052696212,0.270095730132,-0.008956966080,0.008956966080,1,0
401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.028501108192,0.021986896274,-0.006514211918,0.006514211918,0.012474355240,0.004114117667,-0.008360237573,0.008360237573,0,0
401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.028501108192,0.021957765187,-0.006543343005,0.006543343005,0.012474355240,0.004117940401,-0.008356414839,0.008356414839,0,0
401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.028501108192,0.021986896274,-0.006514211918,0.006514211918,0.012474355240,0.004114117667,-0.008360237573,0.008360237573,0,0
401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.028501108192,0.021957765187,-0.006543343005,0.006543343005,0.012474355240,0.004117940401,-0.008356414839,0.008356414839,0,0
401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.088126617485,0.023897968553,-0.064228648932,0.064228648932,0.559966785243,0.728793526684,0.168826741441,0.168826741441,0,0
401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.088126617485,0.023900630595,-0.064225986890,0.064225986890,0.559966785243,0.729157196109,0.169190410866,0.169190410866,0,0
401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.088126617485,0.023897968553,-0.064228648932,0.064228648932,0.559966785243,0.728793526684,0.168826741441,0.168826741441,0,1
