step,best_policy,best_ipc,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay_ipc,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV_ipc,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss_pct,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay_ipc,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV_ipc,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay_ipc,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV_ipc,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay_ipc,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV_ipc,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss_pct
0,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,1.138745,1.131465,0.007279999999999953,0.6393002823283487,1.131465,0.007279999999999953,0.6393002823283487,1.131465,0.007279999999999953,0.6393002823283487,1.131465,0.007279999999999953,0.6393002823283487,1.138745,0.0,0.0,1.138745,0.0,0.0,1.138745,0.0,0.0,1.138745,0.0,0.0
1,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,1.183649,1.180331,0.003317999999999932,0.28031958798595974,1.180331,0.003317999999999932,0.28031958798595974,1.180296,0.0033529999999999394,0.28327654566513716,1.180296,0.0033529999999999394,0.28327654566513716,1.183649,0.0,0.0,1.183649,0.0,0.0,1.183614,3.500000000000725e-05,0.002956957679177463,1.183614,3.500000000000725e-05,0.002956957679177463
2,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,1.18416,1.17111,0.013050000000000006,1.1020470206728825,1.17111,0.013050000000000006,1.1020470206728825,1.17111,0.013050000000000006,1.1020470206728825,1.17111,0.013050000000000006,1.1020470206728825,1.18416,0.0,0.0,1.18416,0.0,0.0,1.184125,3.500000000000725e-05,0.0029556816646405253,1.184125,3.500000000000725e-05,0.0029556816646405253
3,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.542899,0.538823,0.0040759999999999685,0.7507842158486142,0.538823,0.0040759999999999685,0.7507842158486142,0.538821,0.004078000000000026,0.7511526084962444,0.538821,0.004078000000000026,0.7511526084962444,0.542799,9.999999999998899e-05,0.01841963238097491,0.542799,9.999999999998899e-05,0.01841963238097491,0.542899,0.0,0.0,0.542899,0.0,0.0
4,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.494452,0.49097,0.003481999999999985,0.7042139580788398,0.49097,0.003481999999999985,0.7042139580788398,0.488256,0.006195999999999979,1.2531044469432784,0.488256,0.006195999999999979,1.2531044469432784,0.493081,0.001371000000000011,0.2772766618397764,0.493081,0.001371000000000011,0.2772766618397764,0.494452,0.0,0.0,0.494452,0.0,0.0
5,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.616184,0.615558,0.0006259999999999044,0.10159303065316601,0.615558,0.0006259999999999044,0.10159303065316601,0.615567,0.0006169999999999787,0.10013242797605566,0.615567,0.0006169999999999787,0.10013242797605566,0.616178,5.999999999950489e-06,0.000973735118073577,0.616178,5.999999999950489e-06,0.000973735118073577,0.616184,0.0,0.0,0.616184,0.0,0.0
6,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.60505,0.601991,0.003058999999999923,0.505578051400698,0.601991,0.003058999999999923,0.505578051400698,0.601381,0.0036689999999999223,0.6063961656061354,0.601381,0.0036689999999999223,0.6063961656061354,0.60505,0.0,0.0,0.60505,0.0,0.0,0.604051,0.0009989999999999721,0.1651103214610317,0.604051,0.0009989999999999721,0.1651103214610317
7,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.559222,0.559222,0.0,0.0,0.559222,0.0,0.0,0.556024,0.003198000000000034,0.571865913715847,0.556024,0.003198000000000034,0.571865913715847,0.555988,0.003233999999999959,0.578303428691997,0.555988,0.003233999999999959,0.578303428691997,0.556317,0.0029050000000000464,0.5194716946042979,0.556317,0.0029050000000000464,0.5194716946042979
8,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,1.204296,1.204296,0.0,0.0,1.204296,0.0,0.0,1.204245,5.100000000002325e-05,0.004234839275396019,1.204245,5.100000000002325e-05,0.004234839275396019,1.204296,0.0,0.0,1.204296,0.0,0.0,1.204245,5.100000000002325e-05,0.004234839275396019,1.204245,5.100000000002325e-05,0.004234839275396019
9,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.591396,0.589079,0.0023170000000000135,0.39178486158175124,0.589079,0.0023170000000000135,0.39178486158175124,0.589223,0.0021729999999999805,0.36743569452616864,0.589223,0.0021729999999999805,0.36743569452616864,0.591396,0.0,0.0,0.591396,0.0,0.0,0.591384,1.2000000000012001e-05,0.0020290972546334438,0.591384,1.2000000000012001e-05,0.0020290972546334438
10,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.601082,0.598601,0.0024809999999999555,0.4127556639526646,0.598601,0.0024809999999999555,0.4127556639526646,0.599074,0.0020080000000000098,0.33406423749172487,0.599074,0.0020080000000000098,0.33406423749172487,0.599989,0.0010930000000000106,0.1818387507860842,0.599989,0.0010930000000000106,0.1818387507860842,0.601082,0.0,0.0,0.601082,0.0,0.0
11,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.348741,0.348395,0.00034600000000001296,0.09921402989611573,0.348395,0.00034600000000001296,0.09921402989611573,0.348741,0.0,0.0,0.348741,0.0,0.0,0.348257,0.00048400000000003995,0.13878494355411033,0.348257,0.00048400000000003995,0.13878494355411033,0.348533,0.00020800000000004149,0.059643116238137034,0.348533,0.00020800000000004149,0.059643116238137034
12,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.235122,0.235068,5.3999999999998494e-05,0.022966800214356164,0.235068,5.3999999999998494e-05,0.022966800214356164,0.235122,0.0,0.0,0.235122,0.0,0.0,0.235065,5.7000000000001494e-05,0.02424273355959948,0.235065,5.7000000000001494e-05,0.02424273355959948,0.235122,0.0,0.0,0.235122,0.0,0.0
