benchmark,policy,worst_step,worst_loss_ipc,worst_loss_pct,policy_ipc_at_worst,best_ipc_at_worst,best_policy_at_worst_step
400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,76,0.003026000000000001,1.5319269575606622,0.194503,0.197529,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay
400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,76,0.003026000000000001,1.5319269575606622,0.194503,0.197529,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay
400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,51,0.00565400000000002,2.409679632794495,0.228983,0.234637,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay
400.perlbench-41B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,51,0.00565400000000002,2.409679632794495,0.228983,0.234637,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay
400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,33,0.02187699999999998,9.599301454133785,0.206025,0.227902,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay
400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,33,0.02187699999999998,9.599301454133785,0.206025,0.227902,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay
400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,33,0.02187699999999998,9.599301454133785,0.206025,0.227902,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay
400.perlbench-41B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,33,0.02187699999999998,9.599301454133785,0.206025,0.227902,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay
401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,57,0.0629360000000001,3.1968498817486624,1.905752,1.968688,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay
401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,57,0.0629360000000001,3.1968498817486624,1.905752,1.968688,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay
401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,57,0.0629360000000001,3.1968498817486624,1.905752,1.968688,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay
401.bzip2-226B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,57,0.0629360000000001,3.1968498817486624,1.905752,1.968688,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay
401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,99,0.05371900000000007,3.71852743018806,1.390912,1.444631,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay
401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,99,0.05371900000000007,3.71852743018806,1.390912,1.444631,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay
401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,99,0.05371900000000007,3.71852743018806,1.390912,1.444631,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay
401.bzip2-226B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,99,0.05371900000000007,3.71852743018806,1.390912,1.444631,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay
403.gcc-16B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,93,0.00591699999999995,0.9737865931128834,0.601711,0.607628,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV
403.gcc-16B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,93,0.005913999999999975,0.9732928699796546,0.601714,0.607628,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV
403.gcc-16B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,93,0.00591699999999995,0.9737865931128834,0.601711,0.607628,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV
403.gcc-16B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,93,0.005913999999999975,0.9732928699796546,0.601714,0.607628,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV
403.gcc-16B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.009611000000000036,0.824076654305377,1.156664,1.166275,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV
403.gcc-16B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0,0.009544999999999915,0.8184176116267532,1.15673,1.166275,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV
403.gcc-16B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.009611000000000036,0.824076654305377,1.156664,1.166275,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV
403.gcc-16B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0,0.009544999999999915,0.8184176116267532,1.15673,1.166275,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV
410.bwaves-1963B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,8,0.03750699999999996,2.107349118084477,1.742312,1.779819,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV
410.bwaves-1963B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,41,0.02509399999999995,1.3999106297589485,1.767449,1.792543,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay
410.bwaves-1963B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,8,0.03750699999999996,2.107349118084477,1.742312,1.779819,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV
410.bwaves-1963B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,41,0.02509399999999995,1.3999106297589485,1.767449,1.792543,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay
410.bwaves-1963B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,56,0.50194,26.96495694492421,1.359513,1.861453,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV
410.bwaves-1963B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,56,0.50194,26.96495694492421,1.359513,1.861453,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV
410.bwaves-1963B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,56,0.50194,26.96495694492421,1.359513,1.861453,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV
410.bwaves-1963B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,56,0.50194,26.96495694492421,1.359513,1.861453,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV
416.gamess-875B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,52,0.012930000000000108,1.3110119937825897,0.973331,0.986261,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay
416.gamess-875B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,52,0.012930000000000108,1.3110119937825897,0.973331,0.986261,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay
416.gamess-875B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,52,0.012745000000000006,1.2922542815745535,0.973516,0.986261,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay
